Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.072949,"518,429,334",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,104,060"
SPRC,4.28,"74,218",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"20,296"
REPL,8.475,"6,599,835",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"324,956"
CTOR,1.730,"126,171",-48.27,-9.42,34.37,0.29,"873,727"
DVLT,2.4800,"54,025,948",-100.0,-8.33,-18.73,0.2,"2,945,365"
IOBT,.911900,"6,676,575",-84.6522,-5.9897,5.3734,0.12,"1,388,997"
ABAT,6.1566,"17,341,338",-65.9,-12.71,15.87,0.03,"2,150,851"
GSIT,12.09,"54,575,787",-64.6,-36.93,53.72,0.0,"8,241"
AZTR,.593800,"2,227,819",-100.0,-9.4113,-2.9212,-0.04,"36,524"
LAES,5.8203,"34,786,918",-100.0,-12.93,-19.32,-0.08,"2,695,959"
