Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.116900,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,640,190"
SPRC,4.38,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"25,495"
AZTR,.842000,85.30m,-100.0,-32.93,-43.1,-0.01,0
REPL,9.7497,83.90m,-14.37,-1.62,63.94,0.4,"482,555"
IOBT,.713600,56.10m,-87.1673,-30.3805,64.2831,0.0,"1,625,418"
LAES,6.9212,48.70m,-100.0,-9.96,-22.56,-0.07,"2,609,705"
CTOR,1.9100,876.20k,-48.42,-15.11,22.78,0.0,"625,093"
DVLT,2.287600,48.70m,-100.0,-4.79,-20.58,0.22,"3,304,352"
GSIT,16.183,58.10m,63.51,-7.8,101.92,4.58,"292,932"
