Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.116800,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,640,190"
SPRC,4.39,2.10m,-100.0,-19.45,0.0,-0.34,"25,495"
AZTR,.867800,84.90m,-100.0,-31.13,-14.51,0.06,0
REPL,9.415,82.20m,-100.0,-4.94,-39.91,0.02,"482,555"
IOBT,.703900,55.80m,-77.7303,-31.3268,1.963,0.31,"1,622,356"
LAES,6.905,47.10m,-100.0,-10.08,-34.41,-0.65,"2,605,705"
CTOR,1.9113,853.40k,-100.0,-15.05,-70.45,2.21,"625,093"
DVLT,2.279900,47.40m,-100.0,-5.03,-15.11,0.88,"3,306,107"
GSIT,14.738,53.50m,31.15,-15.95,60.43,3.82,"300,816"
