Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
SPRC,4.31,2.40m,-100.0,-8.46,-183.71,0.24,"26,896"
YYAI,.1001,389.10m,-100.0,-13.2727,1.6607,0.05,"8,842,207"
IOBT,.8202,71.00m,193.2989,-5.9048,-26.7172,0.05,"1,350,162"
LAES,6.48,67.50m,-100.0,-6.5,-105.35,0.0,"1,902,690"
CTOR,1.79,1.20m,-100.0,-8.21,-212.68,0.0,"882,214"
ABAT,6.72,51.00m,-100.0,-9.75,-127.22,0.0,"2,126,300"
DVLT,2.42,84.70m,26.38,-5.31,-84.26,-0.06,"3,479,243"
AZTR,.6897,96.30m,-100.0,-14.971,-66.401,-0.1,"36,124"
GSIT,12.97,115.80m,199.5,-14.76,0.74,-0.67,"16,271"
REPL,8.945,110.70m,-100.0,-3.75,29.04,-0.92,"324,956"
