Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.118600,84.50m,-100.0,-12.1481,-53.1072,-1.41,"9,548,490"
SPRC,4.40,2.00m,-100.0,-19.27,0.0,0.92,"17,595"
AZTR,.888550,78.80m,-71.51,-29.44,12.22,0.73,0
REPL,8.8881,74.80m,-80.02,-10.39,23.89,0.91,"482,555"
IOBT,.725150,52.60m,-93.9993,-29.2488,0.4439,0.01,"1,615,930"
LAES,6.65,36.70m,-56.94,-13.52,27.31,0.68,"2,549,814"
CTOR,1.8600,737.50k,-100.0,-17.33,0.0,0.31,"617,853"
DVLT,2.049900,30.80m,-100.0,-8.49,-0.18,-0.25,"3,327,356"
GSIT,13.55,35.60m,-100.0,-23.21,-30.85,-3.41,"263,047"
