Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
IOBT,1.055000,"1,896,661",367.28,-0.47,87.49,0.96,"1,513,317"
SPRC,3.939,"33,142",-100.0,-9.04,0.0,0.22,"28,250"
ABAT,5.915,"9,010,175",-100.0,-7.49,-83.49,0.14,"1,827,514"
CTOR,1.7100,"71,486",-92.95,-6.56,1.62,0.02,"842,282"
REPL,7.880,"1,244,645",-100.0,-5.74,-18.23,0.0,"173,986"
DVLT,2.215000,"18,381,649",-100.0,-12.6,-55.65,0.0,"3,125,028"
AZTR,.559300,"450,748",93.1293,-3.7184,1.7133,-0.02,"87,452"
YYAI,.160150,"1,500,412,127",-100.0,-32.1742,-48.8004,-0.12,"9,063,658"
LAES,5.641,"20,357,575",-3.29,-6.6,21.64,-0.12,"2,728,572"
GSIT,12.865,"15,411,644",-100.0,-6.06,-24.49,-0.27,"236,065"
