Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.117600,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,595,190"
SPRC,4.38,2.10m,-100.0,-19.63,-22.05,-0.11,"25,495"
AZTR,.852337,83.00m,-100.0,-32.36,-5.89,-0.18,0
REPL,9.3235,78.80m,-57.27,-6.0,49.28,0.29,"482,555"
IOBT,.717500,54.50m,-100.0,-29.9999,-66.7962,0.11,"1,579,469"
LAES,6.97,42.90m,33.52,-9.34,6.57,-0.64,"2,564,214"
CTOR,1.8500,783.30k,-100.0,-17.78,0.0,0.0,"624,073"
DVLT,2.338500,43.10m,-100.0,-2.71,-57.1,-0.21,"3,323,190"
GSIT,14.7506,47.90m,33.33,-16.12,24.63,-1.26,"288,860"
