Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
IOBT,1.165000,"5,666,088",36.91,-5.28,109.53,0.43,"1,509,317"
YYAI,.124300,"1,764,620,033",-100.0,-47.2658,-11.7023,0.24,"9,363,908"
REPL,7.785,"1,799,927",-72.86,-6.88,85.65,0.13,"173,986"
ABAT,5.604,"12,004,111",-69.8,-12.29,33.8,0.11,"1,978,642"
LAES,5.340,"27,114,526",-74.64,-10.49,20.43,0.06,"2,696,583"
SPRC,3.810,"43,924",-100.0,-12.01,0.0,0.0,"28,250"
CTOR,1.6800,"123,172",-100.0,-8.2,0.0,0.0,"870,053"
GSIT,11.805,"20,325,539",-100.0,-13.85,-18.39,-0.02,"218,584"
DVLT,2.065000,"27,396,621",-15.28,-18.61,11.41,-0.11,"3,079,943"
AZTR,.540100,"638,396",-100.0,-6.6217,-45.2639,-0.88,"65,142"
