Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.070900,"483,701,118",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,104,060"
SPRC,4.27,"64,058",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"20,296"
REPL,8.325,"6,006,728",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"324,956"
IOBT,.948900,"6,345,168",-100.0,-2.1753,-3.9681,0.43,"1,387,897"
DVLT,2.547400,"49,547,019",-57.04,-5.93,59.24,0.36,"2,949,770"
ABAT,6.215,"15,224,900",-100.0,-11.72,-19.27,0.06,"2,141,459"
AZTR,.603200,"2,172,655",-65.9193,-7.9772,3.2151,0.0,"36,524"
LAES,5.995,"30,702,570",-72.79,-11.32,31.37,0.0,"2,696,800"
GSIT,11.865,"52,861,268",-86.91,-38.08,53.53,-0.15,"8,483"
CTOR,1.7235,"120,498",-100.0,-11.59,-146.66,-0.38,"874,147"
