Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
CTOR,1.7350,"29,963",-100.0,-5.19,-19.82,1.46,"842,282"
YYAI,.178000,"1,149,010,789",-100.0,-26.5367,-44.241,1.4,"8,713,740"
ABAT,6.275,"4,349,297",141.32,-2.12,29.45,0.4,"2,015,393"
DVLT,2.300000,"8,602,219",-100.0,-9.67,-34.33,0.22,"2,890,178"
REPL,8.290,"579,202",-14.13,-2.47,55.23,0.12,"173,851"
LAES,5.830,"9,650,562",56.67,-4.13,47.67,0.09,"2,696,944"
AZTR,.552100,"272,289",-47.6608,-5.9935,25.35,0.02,"87,452"
SPRC,4.067,"17,142",-100.0,-6.06,-42.31,-0.52,"25,335"
GSIT,11.970,"7,956,954",-100.0,-13.06,-15.45,-0.57,"287,661"
IOBT,.996700,"1,003,548",-100.0,-4.76,-28.85,-0.99,"1,513,317"
