Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
DVLT,2.150000,"20,106,062",-53.3,-14.96,-3.68,0.46,"3,125,028"
LAES,5.510,"21,623,354",-100.0,-8.75,-21.72,0.07,"2,692,263"
REPL,7.865,"1,352,487",-100.0,-5.92,-0.28,0.0,"173,986"
AZTR,.566250,"522,229",637.4647,-2.1006,214.9865,-0.01,"87,452"
ABAT,5.787,"9,528,693",-100.0,-9.44,-19.43,-0.23,"2,011,214"
YYAI,.158100,"1,536,835,749",-100.0,-32.5138,-17.3771,-0.56,"8,964,057"
CTOR,1.6800,"75,678",-100.0,-8.2,0.0,-0.59,"842,282"
SPRC,3.870,"38,266",-100.0,-10.62,-62.04,-0.64,"28,250"
GSIT,12.720,"16,565,638",-100.0,-7.34,-2.61,-1.25,"225,698"
IOBT,1.130600,"3,165,310",-100.0,-4.11,-34.5,-1.27,"1,513,317"
