Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.107200,"582,063,281",-100.0,-43.7368,-9.6748,loading,"6,453,272"
REPL,8.625,"1,415,401",-100.0,-4.49,-42.43,loading,"178,308"
LAES,5.860,"20,184,675",-100.0,-8.92,-20.86,loading,"2,844,078"
DVLT,2.305000,"15,790,743",-100.0,-3.77,-12.34,loading,"2,966,304"
GSIT,11.170,"4,252,314",-100.0,-15.15,-27.06,loading,"328,487"
ABAT,6.085,"3,380,531",-100.0,-2.48,-32.58,loading,"1,965,554"
IOBT,1.039000,"1,481,462",loading,-11.95,31.49,0.85,"1,742,951"
AZTR,.540000,"199,931",232.1521,-4.4586,36.5147,0.82,"70,888"
CTOR,1.6700,"26,503",-100.0,-7.02,0.0,0.0,"839,594"
SPRC,3.890,"81,143",loading,-19.29,0.0,-1.27,"32,403"
