Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.128000,63.00m,-7.0841,-5.1852,63.7125,0.0,"9,557,831"
SPRC,4.25,1.90m,-49.64,-22.02,23.0,0.23,"24,195"
AZTR,1.035000,68.90m,-46.38,-17.86,77.18,0.0,0
REPL,8.915,69.70m,-100.0,-10.09,-16.53,-1.15,"466,460"
IOBT,.795800,48.80m,-81.5611,-22.361,15.0949,0.09,"1,554,821"
LAES,6.57,31.00m,-100.0,-14.76,-37.87,0.54,"2,522,619"
CTOR,1.7700,679.80k,8.46,-21.11,0.0,-0.28,"650,253"
DVLT,2.170100,23.70m,16.23,-2.83,38.83,0.81,"3,328,506"
GSIT,14.80,22.70m,99.38,0.0,214.05,10.2,"325,736"
