Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.071300,"494,130,755",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,104,060"
SPRC,4.30,"67,939",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"20,296"
REPL,8.37,"6,179,953",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"324,956"
DVLT,2.457300,"51,806,886",-88.54,-8.99,12.08,0.3,"2,949,690"
LAES,5.885,"33,125,430",-73.57,-13.01,54.88,0.26,"2,685,800"
GSIT,11.965,"53,428,693",-86.07,-37.61,32.26,0.2,"11,853"
CTOR,1.7300,"123,585",33.71,-9.88,52.49,0.01,"874,147"
AZTR,.595100,"2,187,091",-93.8592,-9.213,0.8414,0.0,"36,524"
IOBT,.922600,"6,467,278",-100.0,-5.1856,-3.3243,-0.36,"1,387,897"
ABAT,6.0465,"15,794,749",-100.0,-14.11,-71.85,-0.88,"2,142,451"
