Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.123200,69.00m,-45.9579,-8.7407,15.2393,0.0,"9,578,390"
SPRC,4.25,2.00m,-94.74,-22.02,27.54,0.59,"17,595"
AZTR,.960900,74.00m,-88.27,-20.24,-60.15,0.46,0
REPL,8.945,72.10m,-100.0,-9.79,-8.18,0.22,"466,460"
IOBT,.740000,51.50m,-100.0,-27.8049,-0.4154,-0.01,"1,610,874"
LAES,6.55,32.90m,-79.86,-15.07,2.23,-0.15,"2,516,024"
CTOR,1.8500,712.30k,-100.0,-17.78,0.0,0.64,"617,853"
DVLT,2.030000,28.60m,-100.0,-9.6,-0.17,0.25,"3,326,606"
GSIT,13.76,27.60m,-100.0,-21.33,-206.94,-7.84,"298,193"
