Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.116600,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,640,190"
SPRC,4.0992,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"25,480"
AZTR,.790000,88.30m,-100.0,-37.3,-34.26,-0.15,0
REPL,9.935,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"465,055"
IOBT,.700700,57.30m,-100.0,-31.6878,-69.5264,-0.38,"1,627,675"
LAES,6.85,51.60m,-69.78,-10.8,36.31,0.0,"2,327,582"
CTOR,1.9000,956.60k,-100.0,-15.56,0.0,0.03,"624,618"
DVLT,2.229900,53.50m,-68.86,-7.29,17.9,-0.36,"3,408,566"
GSIT,15.41,75.60m,-100.0,-15.26,-15.94,-0.67,"264,369"
