Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
ABAT,5.740,"683,874",103.06,-4.51,-121.01,-0.17,"2,019,653"
SPRC,4.250,"8,455",-100.0,-4.16,-31.06,0.0,"25,320"
LAES,5.650,"3,859,591",-100.0,-6.77,102.9,0.0,"2,697,043"
CTOR,1.7400,"8,760",-100.0,-6.01,169.22,0.0,"842,282"
AZTR,.551100,"167,851",-100.0,-7.4105,0.0,-0.02,"39,148"
GSIT,10.350,"1,599,015",-100.0,-10.87,-29.73,-0.1,"295,763"
YYAI,.174900,"755,161,378",-100.0,-25.816,-34.8077,-0.34,"9,025,393"
REPL,8.040,"90,664",-100.0,-5.88,-233.66,-0.37,"173,851"
DVLT,2.450000,"2,962,848",-24.02,-3.54,113.1,-0.41,"2,855,043"
IOBT,.959500,"345,936",-100.0,-7.71,190.65,-0.9,"1,513,317"
