Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.116600,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,548,490"
SPRC,4.3639,2.00m,-95.96,-19.93,14.38,-1.24,"17,595"
AZTR,.841100,80.10m,-100.0,-33.25,-80.01,-0.96,0
REPL,8.8601,75.70m,-100.0,-10.49,-10.64,-0.28,"482,555"
IOBT,.739700,53.30m,-56.1975,-27.8341,80.5665,0.5,"1,579,684"
LAES,6.725,38.20m,-1.43,-12.51,45.5,0.15,"2,549,814"
CTOR,1.8307,750.40k,-93.78,-18.0,35.13,-1.86,"617,853"
DVLT,2.069900,31.60m,-55.11,-7.59,53.13,0.45,"3,320,508"
GSIT,15.15,38.40m,-30.82,-13.38,49.12,4.2,"319,448"
