Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.103200,"169,681,250",-100.0,-45.6842,-11.643,6.44,"6,296,287"
SPRC,3.820,"47,928",95.96,-18.26,74.9,1.26,"32,403"
ABAT,6.010,"273,440",176.09,-3.37,-26.87,0.5,"2,123,614"
DVLT,2.160000,"1,692,063",124.72,-4.39,14.24,0.03,"2,863,854"
AZTR,.522100,"44,592",-100.0,-7.6256,130.8166,0.0,"74,113"
LAES,5.910,"5,503,332",-100.0,-8.37,-48.32,-0.17,"2,834,646"
REPL,8.300,"5,961",-100.0,-1.55,81.77,-0.24,"186,323"
GSIT,12.550,"696,586",-100.0,-6.41,-35.94,-0.4,"284,927"
CTOR,1.6500,"12,167",-100.0,-7.57,-58.5,-2.35,"809,294"
IOBT,1.150000,"195,957",-100.0,-5.0,136.69,-2.52,"1,757,986"
