Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.126400,64.70m,-100.0,-6.4444,-24.322,-0.39,"9,578,390"
SPRC,4.24,2.00m,-100.0,-22.2,-59.48,-0.35,"24,195"
AZTR,1.000000,69.90m,-100.0,-20.63,-0.21,0.0,0
REPL,9.05,70.60m,-68.93,-8.78,24.39,1.14,"466,460"
IOBT,.740900,50.20m,-100.0,-27.7268,-176.8215,0.52,"1,583,907"
LAES,6.6088,31.70m,-52.06,-14.04,8.42,0.46,"2,515,024"
CTOR,1.8006,700.10k,-100.0,-18.22,-101.2,0.52,"650,253"
DVLT,2.130000,25.90m,18.04,-4.91,17.46,0.01,"3,324,028"
GSIT,17.49,25.10m,422.27,0.0,327.63,15.83,"278,899"
