Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
IOBT,1.213100,"4,902,098",-35.86,-1.37,54.26,1.51,"1,509,317"
CTOR,1.6900,"114,827",-69.61,-7.65,42.81,0.58,"870,053"
ABAT,5.676,"10,936,799",-98.29,-11.19,7.27,0.17,"1,998,115"
AZTR,.538000,"596,896",-100.0,-6.9848,0.0,0.0,"65,142"
REPL,7.800,"1,640,385",-100.0,-6.82,-34.82,0.0,"173,986"
DVLT,2.132200,"23,648,150",-100.0,-16.14,-2.79,0.0,"3,077,428"
LAES,5.355,"25,076,354",-100.0,-11.34,-6.9,-0.09,"2,694,328"
GSIT,12.310,"19,320,540",-98.83,-10.15,1.81,-0.16,"214,549"
YYAI,.143200,"1,664,874,776",-100.0,-39.1691,-2.385,-0.38,"9,268,385"
SPRC,3.820,"42,001",-100.0,-12.01,-136.31,-1.04,"28,250"
