Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.116900,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,640,190"
SPRC,4.23,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"25,465"
AZTR,.792917,87.60m,-97.79,-37.02,5.04,0.42,0
REPL,9.6799,86.60m,-95.24,-2.3,loading,0.26,"466,155"
IOBT,.713500,56.60m,-100.0,-30.2585,-0.9326,-0.31,"1,621,050"
LAES,6.90,50.10m,-99.31,-10.14,3.81,0.07,"2,314,952"
CTOR,1.8900,950.20k,-100.0,-16.0,-23.36,-0.53,"624,618"
DVLT,2.303400,51.40m,-100.0,-3.75,-8.92,-0.65,"3,383,116"
GSIT,16.0499,70.70m,-100.0,-11.54,-6.22,-0.89,"286,473"
