Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.070000,"471,361,783",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,104,060"
SPRC,4.31,"58,534",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"20,296"
REPL,8.40,"5,910,050",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"324,956"
IOBT,.942000,"6,276,287",-81.9366,-2.8866,3.3895,0.75,"1,387,897"
LAES,6.03,"29,537,927",-100.0,-10.72,-10.55,-0.08,"2,698,800"
ABAT,6.2227,"15,041,430",-100.0,-11.61,-51.91,-0.12,"2,142,459"
DVLT,2.520100,"48,172,740",-100.0,-6.54,-46.44,-0.19,"2,949,775"
GSIT,11.815,"52,612,727",-92.42,-38.37,25.09,-0.3,"8,364"
CTOR,1.7235,"120,448",-100.0,-11.59,-146.66,-0.38,"874,147"
AZTR,.601200,"2,159,831",-100.0,-8.2824,0.0,-0.4,"36,524"
