Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
IOBT,1.179900,"4,086,501",-100.0,-2.5,-24.31,0.87,"1,513,317"
LAES,5.430,"23,446,407",-100.0,-10.18,1.56,0.12,"2,692,742"
DVLT,2.164200,"22,704,867",-100.0,-14.57,-34.24,0.0,"3,109,888"
GSIT,12.263,"18,408,572",-33.91,-10.22,0.0,-0.24,"219,283"
REPL,7.855,"1,531,405",-15.66,-6.04,97.47,-0.06,"173,986"
ABAT,5.624,"10,249,875",-100.0,-11.82,-48.34,-0.18,"2,011,414"
YYAI,.151200,"1,594,740,693",-71.0802,-35.9474,30.0189,-0.45,"9,262,143"
SPRC,3.860,"39,698",-100.0,-10.85,0.0,-1.03,"28,250"
CTOR,1.6900,"106,592",-100.0,-8.2,0.0,-1.75,"842,282"
AZTR,.521500,"573,331",-100.0,-10.0968,-541.076,-7.46,"87,452"
