Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
GSIT,13.8586,37.10m,-100.0,-29.89,-22.26,2.08,"51,971"
AZTR,.606599,1.50m,22.9231,-12.0871,51.169,1.57,"32,124"
SPRC,4.18,41.00k,-100.0,-7.08,0.0,0.53,"18,896"
REPL,8.27,3.00m,-100.0,-12.49,-33.95,0.18,"324,956"
CTOR,1.7500,61.60k,-100.0,-10.26,0.0,0.1,"881,764"
IOBT,.775700,1.50m,168.496,-7.4344,14.3945,0.09,"1,392,547"
YYAI,.080100,188.90m,-100.0,-27.0,-29.5436,0.0,"8,825,270"
DVLT,2.295000,15.50m,211.05,-6.31,48.02,0.0,"3,036,869"
ABAT,6.26,8.20m,83.06,-13.37,21.37,0.0,"2,316,562"
LAES,6.135,16.40m,73.15,-9.34,42.42,-0.1,"1,885,483"
