Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Mark,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
AZTR,.560000,"139,858",465.3325,-7.5764,0.0,2.78,"39,148"
CTOR,1.7400,"8,153",-100.0,-6.01,169.22,0.55,"842,282"
YYAI,.182200,"712,568,738",-48.6531,-22.7639,-34.8077,0.38,"8,957,615"
SPRC,4.250,"6,623",29.4,-4.16,-31.06,0.24,"21,220"
LAES,5.670,"3,526,159",-60.78,-6.46,102.9,0.15,"2,865,899"
REPL,8.040,"89,907",-100.0,-5.52,-233.66,-0.12,"173,851"
ABAT,5.810,"607,423",-100.0,-6.14,-121.01,-0.34,"2,243,179"
DVLT,2.410000,"2,809,037",-100.0,-5.46,113.1,-0.36,"2,864,358"
GSIT,10.650,"1,484,018",-77.33,-8.11,-29.73,-0.46,"289,940"
IOBT,.970000,"339,958",-100.0,-7.77,190.65,-1.85,"1,513,317"
