Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.118950,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,627,390"
SPRC,4.345,2.10m,-86.31,-20.28,26.96,0.41,"25,495"
AZTR,.881501,84.20m,-56.61,-29.99,63.76,-0.87,0
REPL,9.535,80.60m,-38.36,-4.09,28.44,-1.14,"482,555"
IOBT,.708790,55.10m,-82.8974,-30.761,22.291,0.4,"1,627,856"
LAES,7.1088,44.60m,-6.92,-7.67,24.35,0.42,"2,562,039"
CTOR,1.8883,791.00k,-69.08,-16.08,100.95,0.98,"624,073"
DVLT,2.285000,45.30m,-100.0,-4.79,-7.14,0.66,"3,280,535"
GSIT,13.405,50.40m,-100.0,-22.95,-92.54,-3.9,"309,196"
