Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.081600,"581,376,550",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,075,920"
SPRC,4.275,"77,100",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"20,325"
REPL,8.395,"7,056,764",custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"297,645"
IOBT,.940000,"6,944,934",-72.5093,-3.0928,65.732,2.23,"1,388,997"
ABAT,6.115,"18,036,858",-39.84,-13.11,17.71,0.53,"2,147,851"
DVLT,2.360100,"57,636,989",-68.3,-12.04,75.03,0.21,"2,950,465"
LAES,5.8603,"37,118,018",-100.0,-11.61,-0.41,0.09,"2,701,507"
AZTR,.587200,"2,271,241",-100.0,-10.4182,-1.6544,-0.02,"36,524"
GSIT,11.665,"55,635,856",-100.0,-39.07,-10.5,-0.09,"10,785"
CTOR,1.7511,"173,445",377.83,-8.32,8.92,-1.07,"873,727"
