Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.118700,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,custom expression subscription limit exceeded,"9,640,190"
SPRC,4.3201,2.10m,-100.0,-20.73,-65.43,-1.3,"24,195"
AZTR,.827100,82.10m,-87.77,-34.42,1.73,-0.18,0
REPL,9.1889,77.80m,-82.57,-7.16,19.31,0.44,"482,555"
IOBT,.732300,54.30m,-100.0,-28.5561,-9.5528,-0.53,"1,615,684"
LAES,6.895,41.20m,-67.08,-10.27,-3.35,0.0,"2,565,714"
CTOR,1.8301,770.80k,-100.0,-18.66,-102.21,-2.3,"623,758"
DVLT,2.339900,38.30m,-100.0,-0.5,-5.46,0.21,"3,327,440"
GSIT,14.33,46.10m,-100.0,-18.39,-150.18,0.0,"295,256"
