Watchlist 'DTS Announcements'

DTS Announcements
Symbol,Last,Volume Watchlist,5m rel. Vol,High of Day Diff,DTSTakashiHighli,%ChngOverLstCndl,Approx Borrow Size
YYAI,.128700,57.40m,-100.0,-4.5926,-11.7547,-0.43,"9,577,190"
SPRC,4.0225,1.90m,-60.24,-26.19,31.18,1.58,"23,695"
AZTR,.984300,63.60m,-100.0,-21.88,-15.9,-0.7,0
REPL,9.2599,67.20m,-100.0,-6.46,-3.05,0.0,"466,460"
IOBT,.797500,47.40m,-100.0,-22.3073,-36.3773,-1.32,"1,603,046"
LAES,6.6102,27.20m,-100.0,-14.04,-13.69,-0.3,"2,524,882"
CTOR,1.7700,657.40k,-100.0,-20.89,-25.76,-0.56,"649,838"
DVLT,2.200000,21.00m,12.09,-1.12,28.61,0.88,"3,416,328"
GSIT,11.8389,20.10m,360.89,-4.05,0.0,0.0,"341,615"
